aX,aY,aZ,gX,gY,gZ
2.536,1.742,0.414,-218.628,-181.396,-13.611
2.926,1.257,0.729,-211.487,-184.509,-64.148
3.202,0.637,0.981,-191.345,-165.466,-112.000
3.201,0.100,1.077,-178.101,-122.437,-147.217
2.976,-0.273,1.056,-179.199,-67.139,-157.471
2.653,-0.485,1.018,-194.824,-20.996,-138.916
2.378,-0.487,0.955,-219.727,1.892,-101.868
2.181,-0.440,0.956,-250.916,3.113,-66.345
2.006,-0.396,1.039,-281.738,-7.385,-46.936
1.863,-0.374,1.111,-298.706,-19.592,-46.753
1.743,-0.543,1.169,-295.959,-27.039,-70.190
1.589,-0.858,1.282,-275.696,-20.691,-116.394
1.338,-1.247,1.342,-241.028,-4.822,-158.081
1.077,-1.641,1.359,-196.045,26.611,-184.753
0.951,-2.193,1.320,-146.545,67.505,-196.167
0.808,-2.412,1.122,-99.854,95.337,-176.514
0.779,-2.257,0.838,-69.275,105.591,-126.709
0.765,-1.926,0.668,-70.984,102.539,-70.129
0.714,-1.496,0.606,-96.008,78.003,-20.813
0.689,-1.234,0.746,-114.929,48.218,8.301
0.663,-1.050,0.927,-112.732,24.658,16.479
0.659,-0.926,1.074,-89.111,15.381,10.376
0.678,-0.839,1.154,-56.274,19.531,-4.517
0.609,-0.910,1.111,-25.024,34.302,-17.517
0.510,-0.967,0.999,3.723,48.584,-28.198
0.478,-0.999,0.862,26.978,54.871,-30.945
0.448,-0.953,0.733,38.940,55.969,-20.386
0.401,-0.806,0.594,33.508,51.270,-1.099
0.402,-0.619,0.473,20.447,44.495,20.508
0.434,-0.430,0.358,10.925,35.950,35.828
0.485,-0.297,0.258,9.705,27.649,38.635
0.543,-0.238,0.216,16.663,19.348,30.701
0.575,-0.236,0.232,31.006,12.512,17.395
0.613,-0.287,0.287,43.152,6.836,4.883
0.676,-0.334,0.326,42.297,2.930,-1.282
0.736,-0.367,0.341,34.912,1.465,-1.465
0.797,-0.355,0.337,26.917,0.183,0.854
0.844,-0.309,0.315,19.348,-0.793,4.028
0.869,-0.260,0.288,12.817,-0.916,5.859
0.894,-0.210,0.266,7.385,-0.549,6.042
0.904,-0.181,0.253,5.249,0.061,4.639
0.904,-0.176,0.246,5.798,2.380,1.709
0.905,-0.182,0.232,5.005,5.432,-1.709
0.900,-0.207,0.220,2.869,8.240,-5.371
0.895,-0.241,0.197,1.648,10.437,-9.644
0.881,-0.290,0.160,1.892,11.841,-13.550
0.870,-0.317,0.120,3.235,10.498,-15.564
0.865,-0.337,0.103,4.944,6.470,-15.076
0.873,-0.334,0.117,4.883,1.526,-11.719
0.875,-0.328,0.151,1.587,-2.808,-6.958
0.901,-0.322,0.213,-3.967,-5.554,-2.686
0.923,-0.316,0.268,-8.179,-5.615,-0.305
0.953,-0.302,0.329,-10.315,-4.089,0.488
0.990,-0.314,0.376,-10.437,-0.916,-0.916
1.001,-0.333,0.378,-7.874,3.906,-3.784
1.005,-0.362,0.371,-3.174,8.240,-7.812
0.993,-0.407,0.352,3.052,10.742,-11.414
1.762,3.356,-0.311,-82.092,-141.357,6.836
2.136,3.999,-0.307,-134.399,-135.376,-9.277
2.260,4.000,0.137,-190.308,-140.320,-71.106
2.348,3.115,0.985,-218.567,-159.973,-172.302
2.512,1.977,1.845,-211.731,-165.771,-261.536
2.728,0.771,2.663,-188.293,-131.714,-321.106
2.671,-0.406,3.017,-174.561,-44.617,-348.877
2.367,-1.355,2.956,-166.565,62.866,-352.051
1.952,-2.059,2.697,-143.799,152.771,-345.886
1.775,-3.093,2.433,-110.535,216.003,-346.069
1.367,-3.700,2.104,-63.049,262.146,-340.942
1.090,-4.000,1.501,-5.737,286.865,-318.176
0.839,-4.000,1.047,32.898,302.185,-277.222
0.614,-4.000,0.779,54.810,290.649,-226.013
0.540,-4.000,0.616,65.308,257.996,-174.866
0.492,-4.000,0.559,87.952,225.403,-124.573
0.439,-4.000,0.500,132.996,191.467,-83.252
0.197,-4.000,0.556,188.721,153.015,-49.805
-0.147,-3.795,1.184,240.906,110.962,-25.330
-0.373,-3.703,1.710,264.587,91.187,-7.202
-0.563,-3.217,1.984,256.470,89.905,26.123
-0.752,-2.540,2.173,258.911,88.928,66.711
-0.965,-2.046,2.234,282.715,85.876,83.862
-1.128,-1.649,2.194,310.547,77.576,78.613
-1.262,-1.419,2.112,340.149,60.913,65.125
-1.405,-1.238,2.021,372.620,37.170,51.697
-1.625,-0.891,1.872,398.376,7.141,49.988
-1.862,-0.436,1.955,403.687,-25.757,61.829
-1.986,0.075,2.024,382.568,-53.711,82.275
-2.017,0.781,2.150,339.783,-76.965,109.375
-1.941,1.405,2.283,295.227,-88.989,130.981
-1.769,1.804,2.142,260.986,-82.153,133.179
-1.596,2.060,1.740,244.629,-64.758,114.502
-1.490,2.141,1.227,247.009,-49.683,81.177
-1.419,2.212,0.641,253.174,-44.922,47.974
-1.323,2.533,0.071,251.221,-51.025,31.555
-1.211,2.964,-0.400,236.389,-67.749,28.748
